
@relation xalan-2.6

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute numDefects numeric

@data

7.000000,3.000000,0.000000,19.000000,35.000000,0.000000,0.000000,19.000000,6.000000,0.083333,226.000000,1.000000,1.000000,0.922078,0.306122,2.000000,9.000000,31.000000,3.000000,1.571400,1
12.000000,2.000000,14.000000,22.000000,23.000000,0.000000,17.000000,7.000000,12.000000,0.363636,149.000000,1.000000,2.000000,0.731707,0.218750,1.000000,7.000000,11.250000,5.000000,1.583300,1
69.000000,1.000000,0.000000,36.000000,198.000000,2330.000000,20.000000,18.000000,64.000000,1.005793,2601.000000,0.303030,0.000000,0.000000,0.102076,0.000000,0.000000,36.217391,49.000000,4.246400,3
49.000000,3.000000,2.000000,42.000000,100.000000,1176.000000,33.000000,12.000000,46.000000,1.000000,740.000000,0.000000,1.000000,0.606838,0.122222,3.000000,21.000000,14.081633,16.000000,1.857100,3
1.000000,1.000000,0.000000,11.000000,1.000000,0.000000,11.000000,1.000000,1.000000,2.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0
9.000000,1.000000,0.000000,3.000000,9.000000,36.000000,2.000000,1.000000,9.000000,2.000000,9.000000,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.000000,1.000000,1.000000,0
3.000000,3.000000,0.000000,0.000000,4.000000,1.000000,0.000000,0.000000,2.000000,0.500000,234.000000,1.000000,0.000000,0.974359,1.000000,0.000000,0.000000,76.666667,1.000000,0.333300,1
6.000000,2.000000,0.000000,4.000000,10.000000,13.000000,0.000000,4.000000,5.000000,0.800000,41.000000,1.000000,1.000000,0.500000,0.400000,0.000000,0.000000,5.666667,1.000000,0.666700,0
9.000000,1.000000,0.000000,3.000000,24.000000,0.000000,2.000000,2.000000,0.000000,0.892857,353.000000,0.000000,1.000000,0.000000,0.629630,0.000000,0.000000,37.444444,3.000000,1.444400,0
1.000000,1.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,1.000000,2.000000,5.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0
4.000000,1.000000,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,1.266667,90.000000,0.000000,0.000000,0.000000,0.833333,0.000000,0.000000,15.250000,4.000000,2.000000,0
1.000000,1.000000,0.000000,3.000000,1.000000,0.000000,3.000000,0.000000,0.000000,2.000000,36.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.000000,0.000000,0.000000,1
7.000000,2.000000,0.000000,8.000000,11.000000,19.000000,4.000000,6.000000,6.000000,0.833333,39.000000,1.000000,1.000000,0.444444,0.333333,0.000000,0.000000,4.428571,1.000000,0.714300,1
1.000000,1.000000,0.000000,4.000000,1.000000,0.000000,2.000000,2.000000,1.000000,2.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0
11.000000,1.000000,1.000000,3.000000,20.000000,53.000000,3.000000,1.000000,0.000000,0.900000,90.000000,1.000000,0.000000,0.000000,0.400000,0.000000,0.000000,7.090909,2.000000,0.909100,0
4.000000,2.000000,1.000000,5.000000,11.000000,4.000000,1.000000,5.000000,4.000000,2.000000,63.000000,0.000000,0.000000,0.823529,0.500000,1.000000,4.000000,14.750000,5.000000,1.750000,1
3.000000,1.000000,0.000000,6.000000,4.000000,0.000000,5.000000,1.000000,3.000000,0.562500,65.000000,0.000000,1.000000,0.000000,0.571429,0.000000,0.000000,18.000000,0.000000,0.000000,0
